2026-04-17T07:32:12.143761+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T07:32:51.230674+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T07:33:30.585678+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T07:34:14.509550+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T07:34:55.893394+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T07:35:37.800101+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T07:36:19.896130+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-17T07:37:02.552133+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-17T07:37:42.684093+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-17T07:38:24.585574+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-17T07:39:03.564301+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-17T07:39:46.929367+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-17T07:40:26.682515+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-17T07:41:52.315672+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-17T07:42:32.778490+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-17T07:43:13.740905+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-17T07:43:55.327800+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-17T07:45:21.857558+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-17T07:46:05.312963+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-17T07:46:44.312781+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-17T07:47:25.969735+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-17T07:49:41.867375+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T07:50:21.245932+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T07:51:02.887597+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T07:52:32.148244+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T07:53:13.181810+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T07:53:56.816157+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T07:54:37.669605+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T07:56:05.046390+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-17T07:56:45.149814+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-17T07:57:26.060256+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
