2026-04-12T16:46:31.529168+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:47:05.757869+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:47:40.126638+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:48:31.600067+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:49:05.307148+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:49:38.920694+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:50:15.014053+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:50:49.084732+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:51:23.648518+00:00 | Patience | Guns N Roses | source:amperwave-api
2026-04-12T16:51:59.754056+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:52:34.532522+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:53:10.892907+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:53:46.864511+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:54:20.772663+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:55:20.260486+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:55:55.710246+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:56:55.267345+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:57:29.424390+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:58:03.733480+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:58:37.937253+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:59:13.476362+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T16:59:48.207237+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-12T17:00:22.082248+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-12T17:00:56.069634+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-12T17:01:30.268523+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-12T17:02:04.535853+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-12T17:02:38.538541+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-12T17:03:13.044726+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-12T17:03:49.177722+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-12T17:04:30.568497+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-12T17:05:04.592543+00:00 | Give A Little Bit | Supertramp | source:amperwave-api
2026-04-12T17:06:03.132776+00:00 | Give A Little Bit | Supertramp | source:amperwave-api
2026-04-12T17:06:39.037467+00:00 | Give A Little Bit | Supertramp | source:amperwave-api
2026-04-12T17:07:13.642349+00:00 | Give A Little Bit | Supertramp | source:amperwave-api
2026-04-12T17:07:47.813846+00:00 | Give A Little Bit | Supertramp | source:amperwave-api
2026-04-12T17:08:23.637713+00:00 | Give A Little Bit | Supertramp | source:amperwave-api
2026-04-12T17:09:23.133454+00:00 | Give A Little Bit | Supertramp | source:amperwave-api
2026-04-12T17:09:56.719567+00:00 | Crazy Train | Ozzy Osbourne | source:amperwave-api
2026-04-12T17:10:55.959729+00:00 | Crazy Train | Ozzy Osbourne | source:amperwave-api
2026-04-12T17:11:30.467616+00:00 | Crazy Train | Ozzy Osbourne | source:amperwave-api
2026-04-12T17:12:28.170702+00:00 | Crazy Train | Ozzy Osbourne | source:amperwave-api
2026-04-12T17:13:01.662318+00:00 | Crazy Train | Ozzy Osbourne | source:amperwave-api
2026-04-12T17:13:35.872694+00:00 | Crazy Train | Ozzy Osbourne | source:amperwave-api
2026-04-12T17:14:09.941593+00:00 | Crazy Train | Ozzy Osbourne | source:amperwave-api
2026-04-12T17:14:44.149321+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:15:17.799953+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:15:52.963040+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:16:27.795386+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:17:02.853089+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:17:36.787046+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:18:10.762589+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:18:44.751802+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:19:29.409994+00:00 | Brain Damage Eclipse | Pink Floyd | source:amperwave-api
2026-04-12T17:20:03.417396+00:00 | Lunatic Fringe | Red Rider | source:amperwave-api
2026-04-12T17:21:04.950174+00:00 | Lunatic Fringe | Red Rider | source:amperwave-api
2026-04-12T17:21:44.569410+00:00 | Lunatic Fringe | Red Rider | source:amperwave-api
2026-04-12T17:22:32.357869+00:00 | Lunatic Fringe | Red Rider | source:amperwave-api
2026-04-12T17:23:05.969411+00:00 | Lunatic Fringe | Red Rider | source:amperwave-api
2026-04-12T17:24:02.832393+00:00 | Lunatic Fringe | Red Rider | source:amperwave-api
2026-04-12T17:24:37.472923+00:00 | Heart Shaped Box | Nirvana | source:amperwave-api
2026-04-12T17:25:11.207224+00:00 | Heart Shaped Box | Nirvana | source:amperwave-api
2026-04-12T17:25:45.930422+00:00 | Heart Shaped Box | Nirvana | source:amperwave-api
2026-04-12T17:26:25.275379+00:00 | Heart Shaped Box | Nirvana | source:amperwave-api
2026-04-12T17:27:22.789411+00:00 | Heart Shaped Box | Nirvana | source:amperwave-api
2026-04-12T17:27:56.637618+00:00 | Heart Shaped Box | Nirvana | source:amperwave-api
2026-04-12T17:28:30.766330+00:00 | Heart Shaped Box | Nirvana | source:amperwave-api
2026-04-12T17:29:04.897861+00:00 | Heart Shaped Box | Nirvana | source:amperwave-api
2026-04-12T17:29:38.992792+00:00 | Baby I Love Your Way (Live) | Peter Frampton | source:amperwave-api
2026-04-12T17:30:18.960333+00:00 | Baby I Love Your Way (Live) | Peter Frampton | source:amperwave-api
2026-04-12T17:30:55.093669+00:00 | Baby I Love Your Way (Live) | Peter Frampton | source:amperwave-api
2026-04-12T17:31:29.758057+00:00 | Baby I Love Your Way (Live) | Peter Frampton | source:amperwave-api
2026-04-12T17:32:04.175348+00:00 | Baby I Love Your Way (Live) | Peter Frampton | source:amperwave-api
2026-04-12T17:32:43.403566+00:00 | Baby I Love Your Way (Live) | Peter Frampton | source:amperwave-api
2026-04-12T17:33:17.458065+00:00 | Baby I Love Your Way (Live) | Peter Frampton | source:amperwave-api
2026-04-12T17:33:53.516948+00:00 | Baby I Love Your Way (Live) | Peter Frampton | source:amperwave-api
2026-04-12T17:34:37.648339+00:00 | You Shook Me All Night Long | Ac/Dc | source:amperwave-api
